Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
van-gogh-almond-blossom-giclee-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A2 (42 x 59.4 cm),A2-MATTE,400,,999,continue,manual,34.99,TRUE,TRUE,active
van-gogh-almond-blossom-giclee-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A1 (59.4 x 84.1 cm),A1-MATTE,600,,999,continue,manual,49.99,TRUE,TRUE,active
claude-monet-water-lilies-giverny-art-print,Claude Monet - The Water Lily Pond (Giverny),<p>Serene French impressionist landscape featuring the famous Japanese bridge and blooming water lilies.</p><p><strong>Specifications:</strong></p><ul><li>Paper: 200gsm Museum-Quality Archival Matte Paper</li><li>Printing: UK 12-colour Giclée Process</li><li>Dispatch: 24-48 Hours via Royal Mail 48 Tracked</li><li>Packaging: Heavy-duty cardboard postal tube with protective glassine wrap</li></ul>,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,"Monet, French Art, Water Lilies, Impressionism",TRUE,Size,A4 (21 x 29.7 cm),A4-MATTE,150,,999,continue,manual,18.99,TRUE,TRUE,active
claude-monet-water-lilies-giverny-art-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A3 (29.7 x 42 cm),A3-MATTE,250,,999,continue,manual,24.99,TRUE,TRUE,active
claude-monet-water-lilies-giverny-art-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A2 (42 x 59.4 cm),A2-MATTE,400,,999,continue,manual,34.99,TRUE,TRUE,active
claude-monet-water-lilies-giverny-art-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A1 (59.4 x 84.1 cm),A1-MATTE,600,,999,continue,manual,49.99,TRUE,TRUE,active
vintage-herbal-medicinal-plants-chart,Victorian Apothecary & Medicinal Plants Chart,"<p>Detailed vintage botanical chart illustrating classic British medicinal flora, wildflowers, and herbs.</p><p><strong>Specifications:</strong></p><ul><li>Paper: 200gsm Museum-Quality Archival Matte Paper</li><li>Printing: UK 12-colour Giclée Process</li><li>Dispatch: 24-48 Hours via Royal Mail 48 Tracked</li><li>Packaging: Heavy-duty cardboard postal tube with protective glassine wrap</li></ul>",Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,"Botanical, Wildflowers, Apothecary, Vintage Chart",TRUE,Size,A4 (21 x 29.7 cm),A4-MATTE,150,,999,continue,manual,18.99,TRUE,TRUE,active
vintage-herbal-medicinal-plants-chart,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A3 (29.7 x 42 cm),A3-MATTE,250,,999,continue,manual,24.99,TRUE,TRUE,active
vintage-herbal-medicinal-plants-chart,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A2 (42 x 59.4 cm),A2-MATTE,400,,999,continue,manual,34.99,TRUE,TRUE,active
vintage-herbal-medicinal-plants-chart,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A1 (59.4 x 84.1 cm),A1-MATTE,600,,999,continue,manual,49.99,TRUE,TRUE,active
gustav-klimt-the-kiss-art-print,Gustav Klimt - The Kiss (Der Kuss),<p>Vienna Secession gilded masterpiece depicting romantic intimacy in rich decorative symbolism.</p><p><strong>Specifications:</strong></p><ul><li>Paper: 200gsm Museum-Quality Archival Matte Paper</li><li>Printing: UK 12-colour Giclée Process</li><li>Dispatch: 24-48 Hours via Royal Mail 48 Tracked</li><li>Packaging: Heavy-duty cardboard postal tube with protective glassine wrap</li></ul>,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,"Klimt, Vienna Secession, Gold Leaf, Romantic",TRUE,Size,A4 (21 x 29.7 cm),A4-MATTE,150,,999,continue,manual,18.99,TRUE,TRUE,active
gustav-klimt-the-kiss-art-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A3 (29.7 x 42 cm),A3-MATTE,250,,999,continue,manual,24.99,TRUE,TRUE,active
gustav-klimt-the-kiss-art-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A2 (42 x 59.4 cm),A2-MATTE,400,,999,continue,manual,34.99,TRUE,TRUE,active
gustav-klimt-the-kiss-art-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A1 (59.4 x 84.1 cm),A1-MATTE,600,,999,continue,manual,49.99,TRUE,TRUE,active
mid-century-abstract-scandinavian-shapes-print,Scandinavian Minimalist Neutral Abstract Composition,"<p>Soothing neutral beige, charcoal, and terracotta organic shapes tailored for modern Scandi interior decor.</p><p><strong>Specifications:</strong></p><ul><li>Paper: 200gsm Museum-Quality Archival Matte Paper</li><li>Printing: UK 12-colour Giclée Process</li><li>Dispatch: 24-48 Hours via Royal Mail 48 Tracked</li><li>Packaging: Heavy-duty cardboard postal tube with protective glassine wrap</li></ul>",Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,"Abstract, Scandi, Minimalist, Earth Tones, Neutral",TRUE,Size,A4 (21 x 29.7 cm),A4-MATTE,150,,999,continue,manual,18.99,TRUE,TRUE,active
mid-century-abstract-scandinavian-shapes-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A3 (29.7 x 42 cm),A3-MATTE,250,,999,continue,manual,24.99,TRUE,TRUE,active
mid-century-abstract-scandinavian-shapes-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A2 (42 x 59.4 cm),A2-MATTE,400,,999,continue,manual,34.99,TRUE,TRUE,active
mid-century-abstract-scandinavian-shapes-print,,,Heritage Fine Art UK,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Fine Art Print,,TRUE,Size,A1 (59.4 x 84.1 cm),A1-MATTE,600,,999,continue,manual,49.99,TRUE,TRUE,active
